score,NumberOfInstances,NumberOfFeatures,NumberOfClasses,PercentageOfNumericAtts,PercentageOfNominalAtts,PercentageOfBinaryAtts,PercentageOfMissingValues,ClassEntropy,MeanMutualInformation,MeanAttributeEntropy,MeanSkewnessOfNumericAtts,MeanKurtosisOfNumericAtts,MeanStdDevOfNumericAtts,NumberOfInstancesWithMissingValues,Dimensionality,EquivalentNumberOfAtts,IncompleteInstanceCount,MajorityClassSize,MinorityClassSize,MaxNominalAttDistinctValues,MeanNominalAttDistinctValues,MeanMeansOfNumericAtts,NegativePercentage,PositivePercentage,NoiseToSignalRatio
0.660000000000000,100,26,2,0.9615384615384616,0.0,0.0,0.0,0.9953784388202258,-1.0,-1.0,0.1250684109423155,-1.0121701300423251,1.0000000283948036,0,0.26,-1.0,0.0,54,46,-1.0,-1.0,-0.000000002400000,0.54,0.46,-1.0
0.730000000000000,500,11,2,0.9090909090909091,0.0,0.0,0.0,0.9849900098451574,-1.0,-1.0,0.11146832051996347,-1.008860987407503,1.000000031468994,0,0.022,-1.0,0.0,286,214,-1.0,-1.0,0.000000006000000,0.572,0.428,-1.0
0.892429000000000,2417,117,2,0.8803418803418803,0.1111111111111111,0.1111111111111111,0.0,0.1066848655670195,0.004886365704430819,0.7614434265986261,0.3457067139037209,1.392601706713173,0.09850493765817377,0,0.04840711625982623,21.8331725499548,0.0,2383,34,2.0,2.0,0.000061751441047,0.9859329747621017,0.01406702523789822,154.83021670035268
0.644860000000000,214,10,2,0.9,0.0,0.0,0.0,0.9385750889380637,-1.0,-1.0,1.637149580167514,9.591523632020476,0.6895407776406541,0,0.04672897196261682,-1.0,0.0,138,76,-1.0,-1.0,11.26585160955348,0.6448598130841121,0.35514018691588783,-1.0
0.415493000000000,284,11,2,0.9090909090909091,0.0,0.0,0.0,1.0,-1.0,-1.0,4.542072959608047,43.013565131902524,980.6944656834725,0,0.03873239436619718,-1.0,0.0,142,142,-1.0,-1.0,538.5440140845071,0.5,0.5,-1.0
0.366412000000000,131,4,2,0.75,0.0,0.0,0.0,0.9478774073663798,-1.0,-1.0,1.5310290210980793,4.657711402809749,14.38634029930352,0,0.030534351145038167,-1.0,0.0,83,48,-1.0,-1.0,23.586926208651402,0.6335877862595419,0.366412213740458,-1.0
0.483333000000000,60,16,2,0.9375,0.0,0.0,0.0,0.9991983542636398,-1.0,-1.0,1.0382487996330128,4.72252121204151,114.0914159117611,0,0.26666666666666666,-1.0,0.0,31,29,-1.0,-1.0,291.34598888888894,0.5166666666666667,0.48333333333333334,-1.0
0.730000000000000,500,6,2,0.8333333333333334,0.0,0.0,0.0,0.9999884584088952,-1.0,-1.0,0.01369532684354099,-1.2176814035306331,1.0000000300060514,0,0.012,-1.0,0.0,251,249,-1.0,-1.0,-0.000000000400000,0.502,0.498,-1.0
0.720000000000000,100,26,2,0.9615384615384616,0.0,0.0,0.0,1.0,-1.0,-1.0,-0.01650917576196869,-1.1726704864930588,1.0000000266134816,0,0.26,-1.0,0.0,50,50,-1.0,-1.0,-0.000000001200000,0.5,0.5,-1.0
0.728000000000000,500,51,2,0.9803921568627451,0.0,0.0,0.0,0.9995844639313987,-1.0,-1.0,0.007951035261574719,-1.1923104122771213,1.0000000311380095,0,0.102,-1.0,0.0,256,244,-1.0,-1.0,0.000000000960000,0.512,0.488,-1.0
